title,description,url,publishedAt,content
Klarna Stopped All Hiring a Year Ago To Replace Workers With AI,"Klarna CEO Sebastian Siemiatkowski said his company was able to stop hiring a year ago as it invested in AI that's doing the work of hundreds of staff across the firm. From a report: The buy now, pay later finance provider has seen headcount fall 22% to 3,500…",https://slashdot.org/story/24/12/13/1541225/klarna-stopped-all-hiring-a-year-ago-to-replace-workers-with-ai,2024-12-13T15:41:00Z,"The buy now, pay later finance provider has seen headcount fall 22% to 3,500 during that time, mostly due to attrition, Siemiatkowski said in an interview with Bloomberg Television in New York on Thu… [+569 chars]"
South Korea To Inspect Boeing Aircraft as It Struggles To Find Cause of Plane Crash,"South Korean officials said Monday they will conduct safety inspections of all Boeing 737-800 aircraft operated by the country's airlines, as they struggle to determine what caused a plane crash that killed 179 people a day earlier. From a report: Sunday's cr…",https://news.slashdot.org/story/24/12/30/2018226/south-korea-to-inspect-boeing-aircraft-as-it-struggles-to-find-cause-of-plane-crash,2024-12-30T20:18:00Z,"Sunday's crash, the country's worst aviation disaster in decades, triggered an outpouring of national sympathy. Many people worry how effectively the South Korean government will handle the disaster … [+720 chars]"
Echecs : un championnat du monde dans le temple de la finance new-yorkaise,"La Fédération internationale des échecs célèbre son centenaire en organisant pour la première fois un championnat d’échecs rapides et blitz aux Etats-Unis, avec le gotha mondial des joueurs.",https://www.lemonde.fr/sport/article/2024/12/26/echecs-un-championnat-du-monde-dans-le-temple-de-la-finance-new-yorkaise_6468180_3242.html,2024-12-26T12:13:06Z,"Le monde ascétique et cérébral des échecs va, pendant une semaine, se lier à celui de la réussite financière et de lintelligence artificielle, à loccasion du Championnat du monde des échecs rapides e… [+1964 chars]"
I spent over $10K on a business coach who told me I was 'messy' and made me doubt myself. Here's my advice if you're considering coaching.,"Alejandra Roja spend over $10,000 on a business coach who was a bad fit for Roja's needs when she was just starting her journey as an entrepreneur.",https://www.businessinsider.com/business-coach-self-doubt-tips-finding-right-fit-2024-12,2024-12-11T09:42:32Z,"Alejandra Rojas is a trauma-informed finance professional and a money mindset mentor.Courtesy of Alejandra Rojas
<ul><li>Alejandra Rojas started building her business as a finance mentor on social m… [+6038 chars]"
Ethics report into Matt Gaetz expected to be released,A draft details evidence of alleged drug use and payments for sex - which the former US congressman denies.,https://www.bbc.com/news/articles/ckg1d9pzjkno,2024-12-23T13:04:48Z,"A long-awaited report into former Republican US Representative Matt Gaetz is expected to be released on Monday.
It follows an investigation by the House Ethics Committee into allegations of sexual m… [+3138 chars]"
South Korea votes to impeach acting president Han Duck-soo,Han took over the role after President Yoon was impeached by parliament two weeks ago.,https://www.bbc.com/news/articles/cj30234e0djo,2024-12-27T07:43:12Z,"South Korea has voted to impeach its acting president Han Duck-soo, two weeks after parliament voted to impeach its President Yoon Suk Yeol.
A total of 192 lawmakers voted for his impeachment, more … [+2592 chars]"
'I fear losing the home I've been in for 32 years',"One Collyhurst resident says ""they'll have to drag me out of here before I give this home up"".",https://www.bbc.com/news/articles/c24nvd9qev3o,2024-12-21T01:20:27Z,"Gaynor Hutton fears her adapted bungalow in Collyhurst could be demolished
""They'll have to drag me out of here before I give this home up.""
Gaynor Hutton has been told her home of 32 years may hav… [+2670 chars]"
Cambridge Bitcoin Electricity Consumption Index,"The Cambridge Blockchain Network Sustainability Index (CBNSI) is created and maintained by the Cambridge Digital Assets Programme (CDAP) Team at the Cambridge Centre for Alternative Finance, an independent research institute based at Cambridge Judge Business …",https://ccaf.io/cbnsi/cbeci/mining_map,2024-12-12T16:19:55Z,"Note: 
average monthly hashrate share by country and region for the selected period, based on geolocational mining pool data. Updates are scheduled on a monthly basis subject to data availability (g… [+1862 chars]"
"Communications: Spotify, Netflix lead sector gains in 2024","The communication services (XLC) sector has surged by over 35% in 2024, propelled by aggressive cost-cutting initiatives and corporate restructuring. Yahoo...",https://finance.yahoo.com/video/communications-spotify-netflix-lead-sector-230005465.html,2024-12-27T23:00:05Z,"The communication services (XLC) sector has surged by over 35% in 2024, propelled by aggressive cost-cutting initiatives and corporate restructuring. Yahoo Finance Special Reporter Akiko Fujita exami… [+330 chars]"
"3 Signs You’re Not Throwing Your Money Away on Rent, According to Ramit Sethi",One of the supposed core principles of personal finance is that you're better off buying a home rather than renting one. The reasoning goes like this: When...,https://finance.yahoo.com/news/3-signs-not-throwing-money-150017655.html,2024-12-11T15:00:17Z,"<ul><li>According to Ramit Sethi, renting might be better than buying a home, especially if you live in an expensive housing market or if home prices are too high compared to your income.</li><li>Set… [+4269 chars]"
Canada’s Trudeau to Shuffle Cabinet Amid Resignation Calls and Rising Discontent,"Prime Minister Justin Trudeau has led Canada for nearly a decade but has recently become widely unpopular over a wide range of issues, including the high cost of living and rising inflation.",https://time.com/7203539/canada-trudeau-cabinet-shuffle-resignation-calls/,2024-12-20T05:00:00Z,"TORONTO Embattled Canadian Prime Minister Justin Trudeau will shuffle his Cabinet Friday.
The prime ministers office confirmed late Thursday that Trudeau will participate in the swearing-in ceremony… [+3700 chars]"
Crypto surge: Key players reveal their strategies,"Bitcoin (BTC-USD) exploded this year, reaching new heights following the election of President Trump. Yahoo Finance Executive Editor Brian Sozzi spoke to...",https://finance.yahoo.com/video/crypto-surge-key-players-reveal-130034728.html,2024-12-27T13:00:34Z,"Bitcoin (BTC-USD) exploded this year, reaching new heights following the election of President Trump. Yahoo Finance Executive Editor Brian Sozzi spoke to several key players in the space on Opening B… [+463 chars]"
Canada's Justin Trudeau says he will resign as party leader and prime minister,"Trudeau's decision after almost a decade in power, sets the stage for a succession fight to select a new prime minister.",https://www.npr.org/2025/01/06/nx-s1-5249766/justin-trudeau-resignation-canada,2025-01-06T16:22:31Z,"Canadian Prime Minister Justin Trudeau announced plans to resign on Monday, after loud calls from within his own party to step down. Ending weeks of speculation, Trudeau said he will no longer lead h… [+1343 chars]"
'Raspberry Pi Holdings' Stock Price Nearly Doubles In December,"Slashdot reader DevNull127 writes: This year the London Stock Exchange got a new listing for ""Raspberry Pi Holdings plc."" It's the computer-making commercial subsidiary of their larger educational charity, the Raspberry Pi Foundation. ""Access to the public ma…",https://news.slashdot.org/story/24/12/28/0440235/raspberry-pi-holdings-stock-price-nearly-doubles-in-december,2024-12-28T17:34:00Z,"This year the London Stock Exchange got a new listing for ""Raspberry Pi Holdings plc."" It's the computer-making commercial subsidiary of their larger educational charity, the Raspberry Pi Foundation.… [+1261 chars]"
A successful VC predicts what the next 10 years in the venture capital industry will look like,"Venture capital expert Alex Witt shares how Generative AI, robotics, EVs, and other trends will impact the industry in the next decade.",https://www.businessinsider.com/successful-vc-predicts-next-decade-in-venture-capital-industry-2025-1,2025-01-04T09:43:01Z,"Alex Witt said venture capitalists have an unprecedented chance to back five transformative technologies: Generative AI, robotics, autonomous electric vehicles, blockchain, and biotech.Courtesy of Al… [+5751 chars]"
Stripe CFO joins the board of $3 billion AI startup Vercel,"Steffan Tomlinson has experience taking tech startups public. He was previously CFO at Palo Alto Networks, Confluent, and Google Cloud.",https://www.businessinsider.com/stripe-cfo-steffan-tomlinson-joins-vercel-board-2024-12,2024-12-17T16:01:01Z,"Steffan Tomlinson (right) joined Vercel's board in December 2024. Guillermo Rauch (center) is the CEO, while Marten Abrahamsen (right) is the CFO.Vercel
<ul><li>Vercel said it added Steffan Tomlinso… [+3526 chars]"
"Today's NYT Connections Hints, Answers and Help for Dec. 20, #558","Here's today's Connections answer and hints for groups. These clues will help you solve New York Times' popular puzzle game, Connections, every day!",https://www.cnet.com/tech/gaming/todays-nyt-connections-hints-answers-and-help-for-dec-20-558/,2024-12-20T04:00:04Z,"Looking for the most recent Connections answers? Click here for today's Connections hints, as well as our daily answers and hints for The New York Times Mini Crossword, Wordle and Strands puzzles.
T… [+1607 chars]"
Employee finds their dream job outside the ‘finance bro’ space after getting a wakeup call in the form of a cruel list of ‘mistakes’ post-interview: ‘I’m happier than I ever thought I could be',"Looking for a job is tough enough without a bunch of finance bros looking down their noses at you. This employee had a stark realization after striking out at a few interviews that it wasn't the job market pushing her out anymore, it was the bro culture. 
Af…",https://cheezburger.com/38255877/employee-finds-their-dream-job-outside-the-finance-bro-space-after-getting-a-wakeup-call-in-the-form,2024-12-15T14:00:00Z,Looking for a job is tough enough without a bunch of finance bros looking down their noses at you. This employee had a stark realization after striking out at a few interviews that it wasn't the job … [+856 chars]
Remembering the 'kind leader' who led India with a steely resolve,"A man of few words, Singh led the country from the front - but was deeply misunderstood along the way.",https://www.bbc.com/news/articles/cy531yl2ld7o,2024-12-28T00:09:24Z,"Manmohan Singh came across as a quiet, gentle person in public
The prospect of a shy politician is somewhat hard to imagine. Unless that politician is Manmohan Singh.
Since the death of the former … [+7925 chars]"
Healthcare concerns rise as insurers deny patient claims,"Health insurance claim denials continue to be a significant challenge in the US healthcare system. When insurers reject claims, doctors and hospitals face...",https://finance.yahoo.com/video/healthcare-concerns-rise-insurers-deny-182141328.html,2024-12-23T18:21:41Z,"Health insurance claim denials continue to be a significant challenge in the US healthcare system. When insurers reject claims, doctors and hospitals face delays in reimbursement for their services, … [+861 chars]"
The Fed could be on the verge of ripping up its rate script for 2025,"Investors are betting a final 2024 rate cut this week is a sure thing from the Federal Reserve this week, but the bigger question is whether the central bank...",https://finance.yahoo.com/news/the-fed-could-be-on-the-verge-of-ripping-up-its-rate-script-for-2025-090053343.html,2024-12-16T09:00:53Z,"Investors are betting a final 2024 rate cut this Wednesday is a sure thing from the Federal Reserve, but the bigger question is whether the central bank is ready to scale back what it expects to do i… [+5443 chars]"
A secretary turned $180 into $7.2 million by holding her employer's stock for 75 years,"Grace Groner, a secretary at Abbott for over 40 years, built a huge fortune by holding her shares and reinvesting the dividends.",https://www.businessinsider.com/secretary-abbott-stock-investing-dividends-wealth-money-saving-philanthropy-foundation-2024-12,2024-12-22T11:35:02Z,"A photo showing $100 bills being counted out.Kham/Reuters
<ul><li>A secretary bought three shares of her company's stock for $60 each in 1935.</li><li>Grace Groner reinvested her dividends for 75 ye… [+1795 chars]"
South Korea's political chaos continues as its national assembly impeaches its acting president,"The national assembly voted on December 27 to impeach acting president Han Duck Soo. Han has spent two weeks in the role, and is now suspended.",https://www.businessinsider.com/south-korea-national-assembly-impeaches-han-duck-soo-acting-president-2024-12,2024-12-27T08:39:26Z,"The national assembly voted on December 27 to impeach acting president Han Duck-soo, who took over the role two weeks ago.Jung Yeon-Je/AFP via Getty Images
<ul><li>South Korea's national assembly im… [+1478 chars]"
At The Money: Optimizing Personal Health in Finance,"﻿     At The Money:  Optimizing Personal Health in Finance, with  Phil Pearlman (December 11, 2024) Wall Street is always looking for an edge over the competition. But what if there was a giant source of overlooked alpha? We discuss how to obtain “Fitness Alp…",https://ritholtz.com/2024/12/atm-optimizing-health/,2024-12-11T23:00:39Z,"At The Money:  Optimizing Personal Health in Finance, with  Phil Pearlman (December 11, 2024)
Wall Street is always looking for an edge over the competition. But what if there was a giant source of … [+13287 chars]"
"Germany's Scholz loses a confidence vote, triggering new elections","German Chancellor Olaf Scholz had hoped for this outcome when he called for the confidence vote, analysts say. His aim: to win fresh elections in February and come back with a stronger mandate.",https://www.npr.org/2024/12/16/g-s1-38426/germany-scholz-confidence-vote-elections,2024-12-16T16:44:11Z,"German Chancellor Olaf Scholz has lost a vote of confidence in the German parliament. It is the outcome Scholz had hoped for when he called for the confidence vote last week, analysts say. His aim: t… [+7580 chars]"
How brands are getting into the TV and movie game as they try to combat ad fatigue,"People are increasingly tired of seeing ads, so big brands, from Walmart to Chick-fil-A, are funding filmed entertainment like movies and TV.",https://www.businessinsider.com/brands-use-entertainment-movies-tv-combat-ad-fatigue,2024-12-27T11:37:01Z,"People are increasingly tired of seeing ads, so big brands, from Walmart to Chick-fil-A, have been getting behind filmed entertainment as a way to grab their attention.
Brands' dollars and ability t… [+2210 chars]"
"A tiny fintech stock is up 4,700% in 2 days after taking a stake in a company involved with Israel's Iron Dome missile system",Fintech firm Nukkleus saw its market cap jump from about $3 million to $125 million in just two days.,https://markets.businessinsider.com/news/stocks/nukkleus-stock-price-soars-israel-iron-dome-deal-supplier-nukk-2024-12,2024-12-18T19:45:51Z,"A little-known fintech company's stock has soared more than 4,700% over the past two days after it announced a deal to acquire a controlling stake in a firm with ties to Israel's Iron Dome missile de… [+1868 chars]"
South Korea parliament votes to impeach president,"Thousands of protesters celebrated the vote on the streets of Seoul, with singing and fireworks.",https://www.bbc.com/news/articles/c140xjv31lxo,2024-12-14T13:50:44Z,"South Korea has voted to impeach President Yoon - now what?
South Korea's lawmakers have voted to impeach President Yoon Suk Yeol over his ill-fated attempt to impose martial law, which sparked mass… [+4509 chars]"
Rise in Canadian dollar is not tied to PM exit news: Strategist,"Canadian Prime Minister Justin Trudeau is expected to announce his resignation live on Monday. As this news breaks, the Canadian loonie (CAD=X) is trending...",https://finance.yahoo.com/video/rise-canadian-dollar-not-tied-174000980.html,2025-01-06T17:40:00Z,"Canadian Prime Minister Justin Trudeau is expected to announce his resignation live on Monday. As this news breaks, the Canadian loonie (CAD=X) is trending higher.
TD Securities Global Head of FX an… [+1313 chars]"
"This couple holds an annual 'goals meeting.' In 2024, they saved over 6 figures and traveled to Greece and Italy.",Durelle and Samantha Bailey always schedule an end-of-year meeting. They track goals in a spreadsheet and check in on their progress every week.,https://www.businessinsider.com/couple-sets-annual-goals-meeting-how-they-do-it-2024-12,2024-12-18T18:51:44Z,"Samantha and Durelle Bailey book a meeting room at a coworking space every year to discuss New Year's goals.Durelle and Samantha Bailey
<ul><li>Durelle and Samantha Bailey reframed how they set thei… [+4384 chars]"
Barnes & Noble boss is planning to open about 60 new stores in the US,British bookselling boss James Daunt is also considering a future initial public offering of Barnes & Noble and Waterstones in London or New York.,https://www.businessinsider.com/barnes-and-noble-boss-james-daunt-waterstones-books-new-stores-2025-1,2025-01-06T12:05:04Z,"Barnes & Noble and Waterstones boss James Daunt told the Financial Times it would be ""logical"" to consider listing the chains.Drew Angerer/Getty Images
<ul><li>Barnes & Noble plans to open around 60… [+2224 chars]"
"Prospinity, which allows college students to share their future incomes, just raised $2 million","They made a pact to share their income with each other. Their startup, Prospinity, allows college students to strike that same deal with their peers.",https://www.businessinsider.com/prospinity-income-sharing-raise-2-million-slow-ventures-2024-12,2024-12-23T10:00:02Z,"Prospinity cofounders Samvel Antonyan, Andrea Zanon, Aarya Agarwal, and Andrea De Berardinis.Prospinity
<ul><li>Prospinity allows college students to share in their success through income-share agre… [+5275 chars]"
Canadian Prime Minister Justin Trudeau resigns as leader of Liberal Party,"The development comes a month after Canada's deputy prime minister, Chrystia Freeland, resigned suddenly from Trudeau's cabinet.",https://abcnews.go.com/International/canadian-prime-minister-justin-trudeau-resigns-leader-liberal-party/story?id=116837766,2025-01-06T16:07:40Z,"Canadian Prime Minister Justin Trudeau has announced that he intends to resign as Liberal Party leader.
Trudeau said Monday he also intends to resign as prime minister when a new Liberal Party leade… [+3249 chars]"
How JPMorgan got to 5 days a week in the office — a timeline,JPMorgan's back-to-work polices have been a slow progression. Here's how it got to 5 days a week.,https://www.businessinsider.com/jpmorgan-return-to-office-5-days-week-remote-jamie-dimon-2025-1,2025-01-07T17:21:30Z,"Artur Widak/NurPhoto via Getty Images; Chelsea Jia Feng/BI
<ul><li>JPMorgan is gearing up to call its workers back to the office 5 days a week, Bloomberg reported.</li><li>The bank's CEO, Jamie Dimo… [+2221 chars]"
Justice Department takes aim at popular fintech app over hidden fees,Personal finance app Dave is subject to a Department of Justice complaint regarding hidden fees and advertising cash advances of up to $500.,https://www.androidauthority.com/dave-fintech-app-lawsuit-3512345/,2024-12-31T21:38:44Z,<ul><li>The US Department of Justice has filed an amended complaint against fintech app Dave.</li><li>The complaint alleges that Dave misled customers about potential cash advances of up to $500 and … [+2482 chars]
Grand Slam: Mütze des Mörders,"New York ist eine komplizierte Stadt – vor allem, wenn man seine Zeit nicht mit Finance Bros in Bars verbringen möchte. Oder mit einem Mörder verwechselt werden will.",https://www.zeit.de/2024/55/new-york-usa-waffengewalt-krankenversicherung,2024-12-27T08:51:48Z,"Es ist kalt in New York. Sehr kalt. Die Art Kälte, die einem Frost auf die Organe legt. Es ist der Wind, vom Hudson River kommend, der mit tausend winzigen Hammerschlägen auf freigelegte Haut prügelt… [+893 chars]"
"How younger Americans can avoid the most common regrets we heard from over 3,300 older Americans",Older Americans told BI they regretted not preparing well for retirement. We talked to financial planners about how young people can avoid mistakes.,https://www.businessinsider.com/retirement-regrets-saving-401k-prenup-life-insurance-investing-strategies-2024-12,2024-12-20T09:01:01Z,"Seven financial planners, wealth managers, and personal-finance writers offered advice to younger people on preparing for retirement.Getty Images; Jenny Chang-Rodriguez/BI
<ul><li>Many of the 3,300 … [+10525 chars]"
"US watchdog finalizes new rule on solar panel, home equity loans",The U.S. watchdog agency for consumer finance on Tuesday finalized new regulations it said would protect home improvement borrowers who finance solar panels ...,https://finance.yahoo.com/news/us-watchdog-finalizes-rule-solar-163208554.html,2024-12-17T16:32:08Z,(Reuters) - The U.S. watchdog agency for consumer finance on Tuesday finalized new regulations it said would protect home improvement borrowers who finance solar panels and other purchases through th… [+516 chars]
GM stock surged in 2024. CEO Mary Barra says this is why.,General Motors (GM) was named Yahoo Finance's 2024 Surprise of the Year. The automaker's stock is up more than 40% in a year in which rivals Ford (F) and...,https://finance.yahoo.com/video/gm-stock-surged-2024-ceo-105533708.html,2024-12-17T10:55:33Z,General Motors (GM) was named Yahoo Finance's 2024 Surprise of the Year. The automaker's stock is up more than 40% in a year in which rivals Ford (F) and Stellantis (STLA) saw their share prices fall… [+1421 chars]
株価爆上げ。市場も歓迎。Googleの量子チップ「ウィロー」が切り開く未来,Image:GoogleQuantumAI/YouTube量子コンピュータ界は一つ大きな壁を突破しましたGoogle（グーグル）の親会社Alphabet（アルファベット）の株価は、量子チップWillow（ウィロー）の発表を受け、急激に5.6%も値上がりしました。Alphabetは7月以降では最高値を記録して取引を終え、なおかつ他の量子関連株も急騰するなど、今回の発表は市場にとても好意的に迎えられま,https://www.gizmodo.jp/2024/12/google-quantum-chip-willow.html,2024-12-12T03:30:00Z,"GoogleAlphabetWillow5.6%Alphabet7
WillowWillow
Willow
PC
Image:Google Quantum AI / YouTube
Willow
30
Willow1995
1
ABC312BABBC2B
FUJITSU
Willow1010255
Willow105100
Source: Google, Yahoo f… [+36 chars]"
Gynaecology patients going private to avoid NHS waiting lists,Women in agony are using their savings to pay for urgent treatment to avoid waits of up to two years.,https://www.bbc.com/news/articles/c62wly52yr7o,2024-12-09T00:45:41Z,"Some women have described waiting in ""agony"" for gynaecological treatment
When the BBC reported that waiting lists for gynaecology appointments across the UK had more than doubled since February 202… [+10279 chars]"
Bank accounts locked and cash withdrawn after elderly gave power to law firm partner,BBC hears how people felt pressured to grant lasting power of attorney to a man called Ron Hiller.,https://www.bbc.com/news/articles/cp3zd40kdgyo,2024-12-09T06:00:12Z,"Elderly and vulnerable people in south-east England have told the BBC how they lost control of their money and property after dealing with a law firm based in Essex.
They described how they were per… [+12912 chars]"
Bloomberg: Apple scraps plans to offer iPhone hardware subscription service,"Apple is no longer planning to create a “hardware subscription service” to make it as easy as possible to get a new iPhone every year. Bloomberg reports that the goal was “to make owning an iPhone like subscribing to an app,” but the project was “recently wou…",https://9to5mac.com/2024/12/18/iphone-hardware-subscription-service/,2024-12-18T19:33:30Z,Apple is no longer planning to create a “hardware subscription service” to make it as easy as possible to get a new iPhone every year. Bloomberg reports that the goal was “to make owning an iPhone li… [+1672 chars]
